2048x2048 ,4194304, ['ldr'] , ['asm'  '-j'  '1'] ,790593000
4096x4096 ,16777216, ['ldr'] , ['asm'  '-j'  '1'] ,3166374285
8192x8192 ,67108864, ['ldr'] , ['asm'  '-j'  '1'] ,12673748883
16x16 ,256, ['ldr'] , ['asm'  '-j'  '2'] ,10419
32x16 ,512, ['ldr'] , ['asm'  '-j'  '2'] ,22869
64x16 ,1024, ['ldr'] , ['asm'  '-j'  '2'] ,47990
128x16 ,2048, ['ldr'] , ['asm'  '-j'  '2'] ,98068
256x16 ,4096, ['ldr'] , ['asm'  '-j'  '2'] ,152649
512x16 ,8192, ['ldr'] , ['asm'  '-j'  '2'] ,307494
1024x16 ,16384, ['ldr'] , ['asm'  '-j'  '2'] ,266727
2048x16 ,32768, ['ldr'] , ['asm'  '-j'  '2'] ,543726
4096x16 ,65536, ['ldr'] , ['asm'  '-j'  '2'] ,1089420
8192x16 ,131072, ['ldr'] , ['asm'  '-j'  '2'] ,2184336
16x16 ,256, ['ldr'] , ['asm'  '-j'  '2'] ,10419
16x32 ,512, ['ldr'] , ['asm'  '-j'  '2'] ,24180
16x64 ,1024, ['ldr'] , ['asm'  '-j'  '2'] ,51628
16x128 ,2048, ['ldr'] , ['asm'  '-j'  '2'] ,106780
16x256 ,4096, ['ldr'] , ['asm'  '-j'  '2'] ,177763
16x512 ,8192, ['ldr'] , ['asm'  '-j'  '2'] ,357539
16x1024 ,16384, ['ldr'] , ['asm'  '-j'  '2'] ,311049
16x2048 ,32768, ['ldr'] , ['asm'  '-j'  '2'] ,623511
16x4096 ,65536, ['ldr'] , ['asm'  '-j'  '2'] ,1248561
16x8192 ,131072, ['ldr'] , ['asm'  '-j'  '2'] ,2498202
16x16 ,256, ['ldr'] , ['asm'  '-j'  '2'] ,10419
32x32 ,1024, ['ldr'] , ['asm'  '-j'  '2'] ,29472
64x64 ,4096, ['ldr'] , ['asm'  '-j'  '2'] ,186442
128x128 ,16384, ['ldr'] , ['asm'  '-j'  '2'] ,339231
256x256 ,65536, ['ldr'] , ['asm'  '-j'  '2'] ,1388805
512x512 ,262144, ['ldr'] , ['asm'  '-j'  '2'] ,5618430
1024x1024 ,1048576, ['ldr'] , ['asm'  '-j'  '2'] ,22863741
2048x2048 ,4194304, ['ldr'] , ['asm'  '-j'  '2'] ,94032387
4096x4096 ,16777216, ['ldr'] , ['asm'  '-j'  '2'] ,376552893
8192x8192 ,67108864, ['ldr'] , ['asm'  '-j'  '2'] ,1508243484
16x16 ,256, ['ldr'] , ['asm'  '-j'  '3'] ,4284
32x16 ,512, ['ldr'] , ['asm'  '-j'  '3'] ,5756
64x16 ,1024, ['ldr'] , ['asm'  '-j'  '3'] ,14455
128x16 ,2048, ['ldr'] , ['asm'  '-j'  '3'] ,46257
256x16 ,4096, ['ldr'] , ['asm'  '-j'  '3'] ,87887
512x16 ,8192, ['ldr'] , ['asm'  '-j'  '3'] ,112870
1024x16 ,16384, ['ldr'] , ['asm'  '-j'  '3'] ,340706
2048x16 ,32768, ['ldr'] , ['asm'  '-j'  '3'] ,345930
4096x16 ,65536, ['ldr'] , ['asm'  '-j'  '3'] ,696417
8192x16 ,131072, ['ldr'] , ['asm'  '-j'  '3'] ,1408959
16x16 ,256, ['ldr'] , ['asm'  '-j'  '3'] ,4284
16x32 ,512, ['ldr'] , ['asm'  '-j'  '3'] ,10815
16x64 ,1024, ['ldr'] , ['asm'  '-j'  '3'] ,21969
16x128 ,2048, ['ldr'] , ['asm'  '-j'  '3'] ,24492
16x256 ,4096, ['ldr'] , ['asm'  '-j'  '3'] ,37263
16x512 ,8192, ['ldr'] , ['asm'  '-j'  '3'] ,74805
16x1024 ,16384, ['ldr'] , ['asm'  '-j'  '3'] ,174124
16x2048 ,32768, ['ldr'] , ['asm'  '-j'  '3'] ,289866
16x4096 ,65536, ['ldr'] , ['asm'  '-j'  '3'] ,580776
16x8192 ,131072, ['ldr'] , ['asm'  '-j'  '3'] ,1161681
16x16 ,256, ['ldr'] , ['asm'  '-j'  '3'] ,4284
32x32 ,1024, ['ldr'] , ['asm'  '-j'  '3'] ,23677
64x64 ,4096, ['ldr'] , ['asm'  '-j'  '3'] ,94735
128x128 ,16384, ['ldr'] , ['asm'  '-j'  '3'] ,370293
256x256 ,65536, ['ldr'] , ['asm'  '-j'  '3'] ,707250
512x512 ,262144, ['ldr'] , ['asm'  '-j'  '3'] ,2869386
1024x1024 ,1048576, ['ldr'] , ['asm'  '-j'  '3'] ,12240249
2048x2048 ,4194304, ['ldr'] , ['asm'  '-j'  '3'] ,58499835
4096x4096 ,16777216, ['ldr'] , ['asm'  '-j'  '3'] ,218398275
8192x8192 ,67108864, ['ldr'] , ['asm'  '-j'  '3'] ,884310900
