128x128 , 16384 , ['ldr'] , ['c'  '-j'  '1'] , 2434351
256x256 , 65536 , ['ldr'] , ['c'  '-j'  '1'] , 6862390
512x512 , 262144 , ['ldr'] , ['c'  '-j'  '1'] , 18868779
1024x1024 , 1048576 , ['ldr'] , ['c'  '-j'  '1'] , 69933879
2048x2048 , 4194304 , ['ldr'] , ['c'  '-j'  '1'] , 283485456
4096x4096 , 16777216 , ['ldr'] , ['c'  '-j'  '1'] , 1128899269
8192x8192 , 67108864 , ['ldr'] , ['c'  '-j'  '1'] , 4529581412
16x16 , 256 , ['ldr'] , ['c'  '-j'  '2'] , 18207
32x16 , 512 , ['ldr'] , ['c'  '-j'  '2'] , 32375
64x16 , 1024 , ['ldr'] , ['c'  '-j'  '2'] , 61235
128x16 , 2048 , ['ldr'] , ['c'  '-j'  '2'] , 219755
256x16 , 4096 , ['ldr'] , ['c'  '-j'  '2'] , 353222
512x16 , 8192 , ['ldr'] , ['c'  '-j'  '2'] , 619412
1024x16 , 16384 , ['ldr'] , ['c'  '-j'  '2'] , 1319712
2048x16 , 32768 , ['ldr'] , ['c'  '-j'  '2'] , 2206215
4096x16 , 65536 , ['ldr'] , ['c'  '-j'  '2'] , 4777325
8192x16 , 131072 , ['ldr'] , ['c'  '-j'  '2'] , 6385437
16x16 , 256 , ['ldr'] , ['c'  '-j'  '2'] , 18207
16x32 , 512 , ['ldr'] , ['c'  '-j'  '2'] , 32590
16x64 , 1024 , ['ldr'] , ['c'  '-j'  '2'] , 72144
16x128 , 2048 , ['ldr'] , ['c'  '-j'  '2'] , 297875
16x256 , 4096 , ['ldr'] , ['c'  '-j'  '2'] , 296476
16x512 , 8192 , ['ldr'] , ['c'  '-j'  '2'] , 802675
16x1024 , 16384 , ['ldr'] , ['c'  '-j'  '2'] , 1201594
16x2048 , 32768 , ['ldr'] , ['c'  '-j'  '2'] , 2415975
16x4096 , 65536 , ['ldr'] , ['c'  '-j'  '2'] , 6143993
16x8192 , 131072 , ['ldr'] , ['c'  '-j'  '2'] , 7026750
16x16 , 256 , ['ldr'] , ['c'  '-j'  '2'] , 18207
32x32 , 1024 , ['ldr'] , ['c'  '-j'  '2'] , 67515
64x64 , 4096 , ['ldr'] , ['c'  '-j'  '2'] , 362550
128x128 , 16384 , ['ldr'] , ['c'  '-j'  '2'] , 1671343
256x256 , 65536 , ['ldr'] , ['c'  '-j'  '2'] , 4640036
512x512 , 262144 , ['ldr'] , ['c'  '-j'  '2'] , 12329569
1024x1024 , 1048576 , ['ldr'] , ['c'  '-j'  '2'] , 49923341
2048x2048 , 4194304 , ['ldr'] , ['c'  '-j'  '2'] , 200887003
4096x4096 , 16777216 , ['ldr'] , ['c'  '-j'  '2'] , 861830337
8192x8192 , 67108864 , ['ldr'] , ['c'  '-j'  '2'] , 3746169165
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '1'] , 57472
32x16 , 512 , ['ldr'] , ['asm'  '-j'  '1'] , 110195
64x16 , 1024 , ['ldr'] , ['asm'  '-j'  '1'] , 210805
128x16 , 2048 , ['ldr'] , ['asm'  '-j'  '1'] , 687384
256x16 , 4096 , ['ldr'] , ['asm'  '-j'  '1'] , 1114306
512x16 , 8192 , ['ldr'] , ['asm'  '-j'  '1'] , 1772405
1024x16 , 16384 , ['ldr'] , ['asm'  '-j'  '1'] , 4220537
2048x16 , 32768 , ['ldr'] , ['asm'  '-j'  '1'] , 6097196
4096x16 , 65536 , ['ldr'] , ['asm'  '-j'  '1'] , 9107264
8192x16 , 131072 , ['ldr'] , ['asm'  '-j'  '1'] , 17668797
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '1'] , 57472
16x32 , 512 , ['ldr'] , ['asm'  '-j'  '1'] , 110255
16x64 , 1024 , ['ldr'] , ['asm'  '-j'  '1'] , 250781
16x128 , 2048 , ['ldr'] , ['asm'  '-j'  '1'] , 592278
16x256 , 4096 , ['ldr'] , ['asm'  '-j'  '1'] , 1014120
16x512 , 8192 , ['ldr'] , ['asm'  '-j'  '1'] , 2608407
16x1024 , 16384 , ['ldr'] , ['asm'  '-j'  '1'] , 3804655
16x2048 , 32768 , ['ldr'] , ['asm'  '-j'  '1'] , 6540690
16x4096 , 65536 , ['ldr'] , ['asm'  '-j'  '1'] , 14774765
16x8192 , 131072 , ['ldr'] , ['asm'  '-j'  '1'] , 18991459
